,Loss,acc_score,ϵ,model
1,0.7116659293174744,0.462,0,MI_penal
2,0.6971734728813171,0.461,0,MI_penal
3,0.7245782589912415,0.461,0,MI_penal
4,0.7703185834884644,0.462,0,MI_penal
5,0.6923626708984375,0.531,0,MI_penal
6,0.7430624294281006,0.462,0,MI_penal
7,0.7120569229125977,0.463,0,MI_penal
8,0.7086661491394043,0.462,0,MI_penal
9,0.7007160120010376,0.463,0,MI_penal
10,0.7104473280906677,0.463,0,MI_penal
11,0.6946354312896729,0.532,0,MI_penal
12,0.6910304260253907,0.532,0,MI_penal
13,0.7081492691040039,0.464,0,MI_penal
14,0.7166880378723145,0.532,0,MI_penal
15,0.7016084942817687,0.455,0,MI_penal
16,0.7006467046737671,0.458,0,MI_penal
17,0.7293393249511719,0.461,0,MI_penal
18,0.691252694606781,0.533,0,MI_penal
19,0.7048406863212585,0.461,0,MI_penal
20,0.7148633065223694,0.464,1,MI_penal
21,0.6912822012901306,0.534,1,MI_penal
22,0.688683464050293,0.555,1,MI_penal
23,0.6972442097663879,0.531,1,MI_penal
24,0.6906520314216614,0.505,1,MI_penal
25,0.6965154781341553,0.532,1,MI_penal
26,0.7346653943061828,0.462,1,MI_penal
27,0.7147577905654907,0.531,1,MI_penal
28,0.6916936011314392,0.532,1,MI_penal
29,0.7248712863922119,0.462,1,MI_penal
30,0.7079763326644898,0.463,1,MI_penal
31,0.6973598146438599,0.504,1,MI_penal
32,0.7188586702346802,0.462,1,MI_penal
33,0.7219793815612793,0.462,1,MI_penal
34,0.7014333953857422,0.453,1,MI_penal
35,0.7081406655311584,0.461,1,MI_penal
36,0.6962782182693481,0.532,1,MI_penal
37,0.7137297735214233,0.463,1,MI_penal
38,0.7018307971954346,0.462,1,MI_penal
39,0.7014043312072754,0.462,1,MI_penal
40,0.6980777878761292,0.532,2,MI_penal
41,0.693404730796814,0.531,2,MI_penal
42,0.7057980527877807,0.464,2,MI_penal
43,0.72985129737854,0.463,2,MI_penal
44,0.6920199856758118,0.531,2,MI_penal
45,0.7002471284866333,0.459,2,MI_penal
46,0.7680433845520019,0.532,2,MI_penal
47,0.7160930480957032,0.532,2,MI_penal
48,0.7087027082443237,0.462,2,MI_penal
49,0.7764819831848144,0.462,2,MI_penal
50,0.7075016241073608,0.461,2,MI_penal
51,0.685335069656372,0.533,2,MI_penal
52,0.6951128911972045,0.53,2,MI_penal
53,0.6923443760871887,0.543,2,MI_penal
54,0.7014524984359741,0.461,2,MI_penal
55,0.6935176863670349,0.533,2,MI_penal
56,0.6989247007369995,0.393,2,MI_penal
57,0.6968502416610718,0.433,2,MI_penal
58,0.7380701389312744,0.462,2,MI_penal
59,0.7201398687362671,0.463,2,MI_penal
60,0.6897320957183838,0.533,3,MI_penal
61,0.6988190412521362,0.528,3,MI_penal
62,0.6951231098175049,0.427,3,MI_penal
63,0.7041472201347351,0.462,3,MI_penal
64,0.6942214126586914,0.534,3,MI_penal
65,0.7034862356185914,0.464,3,MI_penal
66,0.6951144771575928,0.531,3,MI_penal
67,0.6995788259506226,0.41,3,MI_penal
68,0.7068255529403686,0.46,3,MI_penal
69,0.6932377376556397,0.464,3,MI_penal
70,0.7004148321151733,0.532,3,MI_penal
71,0.7489921231269836,0.462,3,MI_penal
72,0.6965557241439819,0.458,3,MI_penal
73,0.7068337478637695,0.531,3,MI_penal
74,0.7056565713882447,0.462,3,MI_penal
75,0.701881766796112,0.532,3,MI_penal
76,0.7010472292900085,0.529,3,MI_penal
77,0.6888765916824341,0.532,3,MI_penal
78,0.7872442865371704,0.462,3,MI_penal
79,0.718926329612732,0.463,3,MI_penal
80,0.7134352798461914,0.531,4,MI_penal
81,0.6918453059196472,0.496,4,MI_penal
82,0.7014671316146851,0.46,4,MI_penal
83,0.6982390141487121,0.457,4,MI_penal
84,0.7005490593910217,0.468,4,MI_penal
85,0.7006580848693847,0.462,4,MI_penal
86,0.6938174352645874,0.53,4,MI_penal
87,0.7119357967376709,0.532,4,MI_penal
88,0.7016413164138794,0.53,4,MI_penal
89,0.7278386006355285,0.462,4,MI_penal
90,0.6957983303070069,0.532,4,MI_penal
91,0.6967449607849121,0.532,4,MI_penal
92,0.7403649735450745,0.463,4,MI_penal
93,0.6924333996772766,0.529,4,MI_penal
94,0.7051589612960816,0.532,4,MI_penal
95,0.6949016504287719,0.531,4,MI_penal
96,0.7151307439804078,0.462,4,MI_penal
97,0.6894003849029541,0.576,4,MI_penal
98,0.6995678548812866,0.425,4,MI_penal
99,0.7191806421279907,0.462,4,MI_penal
100,0.6988961696624756,0.523,5,MI_penal
101,0.7323179841041565,0.532,5,MI_penal
102,0.6917031378746032,0.486,5,MI_penal
103,0.7005298900604248,0.532,5,MI_penal
104,0.6953923559188843,0.525,5,MI_penal
105,0.7582751016616821,0.463,5,MI_penal
106,0.6978654971122742,0.461,5,MI_penal
107,0.6969705171585083,0.457,5,MI_penal
108,0.7014299383163453,0.464,5,MI_penal
109,0.7356569766998291,0.462,5,MI_penal
110,0.7202263808250428,0.462,5,MI_penal
111,0.6845301012992859,0.558,5,MI_penal
112,0.6993458847999573,0.526,5,MI_penal
113,0.7096233777999877,0.46,5,MI_penal
114,0.6907895565032959,0.559,5,MI_penal
115,0.6972448320388794,0.458,5,MI_penal
116,0.6945880122184753,0.532,5,MI_penal
117,0.7045592308044434,0.456,5,MI_penal
118,0.6941385583877564,0.531,5,MI_penal
119,0.6998326358795166,0.51,5,MI_penal
120,0.6941333556175232,0.483,6,MI_penal
121,0.6986894664764405,0.532,6,MI_penal
122,0.6931843085289001,0.538,6,MI_penal
123,0.7192247524261475,0.462,6,MI_penal
124,0.6898920316696167,0.554,6,MI_penal
125,0.7322487797737122,0.533,6,MI_penal
126,0.7247738327980041,0.462,6,MI_penal
127,0.6947047114372253,0.513,6,MI_penal
128,0.6936572818756104,0.473,6,MI_penal
129,0.7038842830657959,0.45,6,MI_penal
130,0.6953820734024048,0.53,6,MI_penal
131,0.6965333528518677,0.464,6,MI_penal
132,0.6950250201225281,0.532,6,MI_penal
133,0.6895872750282288,0.543,6,MI_penal
134,0.7022694702148438,0.531,6,MI_penal
135,0.7024277544021607,0.46,6,MI_penal
136,0.7060062770843506,0.532,6,MI_penal
137,0.7036701040267944,0.446,6,MI_penal
138,0.6884247612953186,0.532,6,MI_penal
139,0.7474879403114318,0.462,6,MI_penal
140,0.693137948513031,0.532,7,MI_penal
141,0.7116266841888428,0.462,7,MI_penal
142,0.7241688318252564,0.462,7,MI_penal
143,0.709884412765503,0.461,7,MI_penal
144,0.6980420942306519,0.489,7,MI_penal
145,0.6937279024124146,0.472,7,MI_penal
146,0.6939101929664612,0.5,7,MI_penal
147,0.6986333017349243,0.532,7,MI_penal
148,0.7229142599105834,0.463,7,MI_penal
149,0.6974499025344849,0.534,7,MI_penal
150,0.7083170151710511,0.461,7,MI_penal
151,0.6975998191833496,0.418,7,MI_penal
152,0.7330094318389893,0.462,7,MI_penal
153,0.707738474369049,0.532,7,MI_penal
154,0.7006337585449218,0.456,7,MI_penal
155,0.688340482711792,0.584,7,MI_penal
156,0.729903450012207,0.463,7,MI_penal
157,0.7443499927520751,0.462,7,MI_penal
158,0.6950422606468201,0.482,7,MI_penal
159,0.6909705867767334,0.532,7,MI_penal
160,0.6878955001831055,0.494,8,MI_penal
161,0.6909770364761353,0.553,8,MI_penal
162,0.694558466911316,0.469,8,MI_penal
163,0.6936264667510986,0.532,8,MI_penal
164,0.6888228678703308,0.533,8,MI_penal
165,0.6970483074188233,0.532,8,MI_penal
166,0.7638266925811767,0.462,8,MI_penal
167,0.7127351608276368,0.462,8,MI_penal
168,0.6860348901748657,0.598,8,MI_penal
169,0.6953925585746765,0.524,8,MI_penal
170,0.7542384796142578,0.462,8,MI_penal
171,0.706746750831604,0.46,8,MI_penal
172,0.7105375614166259,0.46,8,MI_penal
173,0.7022447071075439,0.533,8,MI_penal
174,0.7043248386383056,0.461,8,MI_penal
175,0.6918835344314576,0.532,8,MI_penal
176,0.6939886980056763,0.533,8,MI_penal
177,0.7118212547302246,0.46,8,MI_penal
178,0.7140023250579834,0.462,8,MI_penal
179,0.7152682476043701,0.462,8,MI_penal
180,0.6917856187820435,0.533,9,MI_penal
181,0.70108544921875,0.461,9,MI_penal
182,0.6912168102264404,0.531,9,MI_penal
183,0.6925437812805175,0.505,9,MI_penal
184,0.6874450407028199,0.534,9,MI_penal
185,0.7279854135513306,0.462,9,MI_penal
186,0.692908842086792,0.459,9,MI_penal
187,0.6971405339241028,0.533,9,MI_penal
188,0.6820562028884888,0.633,9,MI_penal
189,0.6919796266555787,0.531,9,MI_penal
190,0.6885444712638855,0.571,9,MI_penal
191,0.7247688798904419,0.462,9,MI_penal
192,0.7021030859947205,0.522,9,MI_penal
193,0.7178111624717712,0.463,9,MI_penal
194,0.7245789036750794,0.462,9,MI_penal
195,0.7200093994140625,0.462,9,MI_penal
196,0.6956702356338501,0.466,9,MI_penal
197,0.6975822849273682,0.46,9,MI_penal
198,0.7126433906555176,0.463,9,MI_penal
199,0.719847653388977,0.462,9,MI_penal
200,0.6968125381469726,0.48,10,MI_penal
201,0.7136605229377747,0.461,10,MI_penal
202,0.7070145125389099,0.456,10,MI_penal
203,0.6995873365402222,0.531,10,MI_penal
204,0.6965980796813965,0.522,10,MI_penal
205,0.7114176826477051,0.465,10,MI_penal
206,0.6992258520126343,0.531,10,MI_penal
207,0.6892413482666016,0.592,10,MI_penal
208,0.727892837524414,0.462,10,MI_penal
209,0.7035719656944275,0.461,10,MI_penal
210,0.7539835133552552,0.532,10,MI_penal
211,0.693553277015686,0.533,10,MI_penal
212,0.6980866813659667,0.532,10,MI_penal
213,0.696951379776001,0.536,10,MI_penal
214,0.7234579529762268,0.462,10,MI_penal
215,0.7083567299842835,0.531,10,MI_penal
216,0.7088622798919678,0.533,10,MI_penal
217,0.7746510691642762,0.462,10,MI_penal
218,0.6906467833518982,0.532,10,MI_penal
219,0.6901460900306702,0.499,10,MI_penal
